STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,PRCP,TAVG,TMAX,TMIN
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1952,5812,181.26,80.9,87.5,74.2
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1953,5799,188.98,80.9,87.3,74.4
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1954,5574,196.67,80.3,86.5,74
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1955,5387,225.94,79.8,86.4,73.2
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1956,5505,206.06,80,86.8,73.3
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1957,5885,149.04,81.1,87.5,74.8
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1958,5702,203.59,80.6,86.5,74.7
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1959,5628,217.85,80.4,86.6,74.3
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1960,5665,205.29,80.5,86.6,74.4
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1961,5591,206.44,80.3,86.6,74
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1962,5649,215.6,80.5,86.8,74.2
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1963,5634,175.03,80.4,87,73.9
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1964,5584,167.39,80.3,86.7,73.8
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1965,5553,193.36,80.2,86.1,74.4
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,1966,5725,170.08,80.7,87.1,74.3
