year,tasmax_wateryear
2007,291.3691406
2008,291.7895203
2009,291.480896
2010,291.6198425
2011,291.9629211
2012,292.0522461
2013,291.3366089
2014,291.7917175
2015,292.3355713
2016,291.3153076
2017,291.5592346
2018,291.8150024
2019,291.9338989
2020,292.2543945
2021,292.9447632
2022,292.3399353
2023,291.6072998
2024,291.8521118
2025,292.3191223
2026,292.2983398
2027,291.5884705
2028,293.3694153
2029,291.6585083
2030,292.2984619
2031,292.1201477
2032,292.4877014
2033,292.3876648
2034,292.4197083
2035,293.4734497
2036,292.0395508
2037,292.0534668
2038,292.901001
2039,292.4567871
2040,292.932251
2041,292.4960632
2042,292.7520752
2043,293.4682007
2044,293.1317139
2045,293.3041687
2046,292.6784668
2047,293.2185669
2048,292.9940796
2049,293.3668823
2050,293.3521423
2051,292.706665
2052,294.2580566
2053,294.0224609
2054,293.7774048
2055,293.3670349
2056,294.0646057
2057,294.1417236
2058,294.4474487
2059,294.5917664
2060,294.0337219
2061,293.9605713
2062,294.6598511
2063,294.3191528
2064,294.6991272
2065,294.9011841
2066,294.4519348
2067,295.5749512
2068,294.90802
2069,295.1591187
2070,296.0639038
2071,296.1650391
2072,296.2160034
2073,294.5352478
2074,294.6810913
2075,294.9026489
2076,295.6919861
2077,295.3460999
2078,295.4899902
2079,296.7974243
2080,295.3901367
2081,295.7694397
2082,296.5831909
2083,296.7754211
2084,296.8150024
2085,296.9326172
2086,295.5374756
2087,298.4096985
2088,297.2010498
2089,296.3014221
2090,297.9328308
2091,296.9403992
2092,298.3322144
2093,296.3891907
2094,296.7069702
2095,297.63974
2096,298.0248108
2097,297.7113342
2098,299.5660706
2099,298.4172668
