year,tasmax_year_historical
1950,288.9130859
1951,288.9297791
1952,288.7494202
1953,289.0829773
1954,288.8768921
1955,289.0541382
1956,288.7524719
1957,288.901123
1958,288.5839233
1959,288.8662109
1960,288.8578796
1961,288.8198853
1962,288.8961487
1963,288.9719543
1964,288.6577454
1965,288.6230469
1966,288.6645508
1967,288.5619507
1968,288.7349548
1969,288.6114502
1970,288.8197632
1971,288.6468811
1972,288.8261108
1973,288.9871826
1974,288.9574585
1975,288.5626831
1976,288.8525391
1977,289.1098938
1978,289.0192261
1979,288.9923706
1980,289.1016235
1981,289.0940552
1982,288.8924866
1983,288.7231445
1984,289.0281982
1985,289.2061462
1986,289.3082275
1987,289.0564575
1988,289.2430725
1989,289.1280212
1990,289.3120117
1991,289.3097229
1992,288.900116
1993,288.9338074
1994,289.3710022
1995,289.1671143
1996,289.2649231
1997,289.1932068
1998,289.6788635
1999,289.467926
2000,289.4562073
2001,289.4676208
2002,289.8032837
2003,289.5971985
2004,289.6556702
2005,289.4237366
