year,tasmax_year_ens32avg_rcp85
2006,290.0125427
2007,289.9014893
2008,289.651886
2009,289.8473511
2010,289.7430725
2011,290.144989
2012,290.1255493
2013,290.0472412
2014,290.0398254
2015,290.1854553
2016,290.0297852
2017,290.287323
2018,290.3557434
2019,290.1783752
2020,290.6433716
2021,290.1920471
2022,290.4081421
2023,290.5823364
2024,290.4830627
2025,290.5768127
2026,290.5750732
2027,290.4476624
2028,290.8125
2029,290.686676
2030,290.8657532
2031,290.7266846
2032,290.6104431
2033,290.9519653
2034,291.0360413
2035,291.1690063
2036,290.8198853
2037,291.2884827
2038,291.0711975
2039,291.0946655
2040,291.3068237
2041,291.1824646
2042,291.6131287
2043,291.2295227
2044,291.246521
2045,291.5216675
2046,291.6087341
2047,291.502655
2048,291.6057129
2049,291.9189758
2050,291.7501526
2051,291.9740601
2052,291.8964233
2053,292.1344299
2054,292.0577087
2055,292.2958069
2056,292.2363892
2057,292.3077087
2058,292.4887695
2059,292.3139343
2060,292.4667969
2061,292.4867859
2062,292.6442871
2063,292.7077637
2064,292.786377
2065,292.8065491
2066,292.7615356
2067,293.1327209
2068,293.0063171
2069,293.1070862
2070,293.1461487
2071,293.0244751
2072,293.2423401
2073,293.0848389
2074,293.2852478
2075,293.3505249
2076,293.3526306
2077,293.6207581
2078,293.5515442
2079,293.5342712
2080,293.4364319
2081,293.5695496
2082,293.9586487
2083,293.8128052
2084,294.0140686
2085,293.8123474
2086,293.9198914
2087,293.9855957
2088,294.0452881
2089,294.2225037
2090,294.4717712
2091,294.1545715
2092,294.2171326
2093,294.2219849
2094,294.6428223
2095,294.3287659
2096,294.596405
2097,294.4317627
2098,294.753418
2099,294.7353516
